ФИО,Суд,Позиция,Назначен/Освобожден,Комментарий,Тип периода,Период
Пыкина Наталья Михайловна,05-002-03-01,судья,назначен,,бессрочно,
Фальковская Татьяна Николаевна,05-002-03-01,судья,назначен,,лет,5
Фальковская Татьяна Николаевна,07-003-03-01,судья,освобожден,,,
Митрахович Ирина Алексеевна,07-004-03-01,судья,назначен,,лет,5
Пучкова Олеся Валерьевна,07-004-03-01,судья,назначен,,лет,5
Шодор Ольга Павловна,07-002-03-01,судья,назначен,,лет,5
Шаграй Рита Петровна,07-001-03-01,судья и председатель суда,назначен,,лет,5
Бондаренко Светлана Александровна,07-003-03-01,судья и заместитель председателя суда,назначен,,лет,5
Пирожникова Татьяна Валерьевна,07-003-03-01,судья,назначен,,лет,5
Супрун Дмитрий Игоревич,07-003-03-01,судья и председатель суда,назначен,,лет,5
Супрун Дмитрий Игоревич,05-002-03-01,судья и председатель суда,освобожден,,,
Хвеженко Михаил Валериевич,07-003-03-01,судья,назначен,,лет,5
Богомяков Николай Юрьевич,07-008-03-01,судья,назначен,,лет,5
Кухар Анна Юрьевна,07-008-03-01,судья,назначен,,лет,5
Мигурский Алексей Эдуардович,07-008-03-01,судья и заместитель председателя суда,назначен,,лет,5
Кулик Анастасия Дмитриевна,07-006-03-01,судья,назначен,,лет,5
Оковитая Татьяна Владимировна,07-009-03-01,судья и заместитель председателя суда,назначен,,лет,5
Павловская Ольга Антоновна,07-005-03-01,судья и заместитель председателя суда,назначен,,лет,5
Шумейко Мария Сергеевна,07-007-03-01,судья,назначен,,лет,5
Адамова Тамара Владимировна,06-000-03-02,судья,назначен,,бессрочно,
Бобко Людмила Петровна,06-001-03-01,судья,назначен,,лет,5
Полуян Ольга Владимировна,06-001-03-01,судья и председатель суда,назначен,,бессрочно,
Полуян Ольга Владимировна,06-020-03-01,судья и председатель суда,освобожден,,,
Холодцов Александр Анатольевич,06-001-03-01,судья,назначен,,лет,5
Березюк Юлия Анатольевна,06-009-03-01,судья и председатель суда,назначен,,лет,5
Врублевская Ксения Владимировна,06-002-03-01,судья,назначен,,лет,5
Королько Елена Михайловна,06-020-03-01,судья и председатель суда,назначен,,бессрочно,
Сивец Светлана Петровна,06-017-03-01,судья,назначен,,лет,5
Колобов Антон Олегович,05-001-03-01,судья,назначен,,лет,5
Кривело Дмитрий Вадимович,05-005-03-01,судья,назначен,,лет,5
Федчук Татьяна Ивановна,05-008-03-01,судья,назначен,,лет,5
Блоцкий Юрий Михайлович,05-020-03-01,судья,назначен,,лет,5
Карих Наталья Валерьевна,04-000-03-02,судья,назначен,,лет,5
Карих Наталья Валерьевна,04-002-03-01,судья,освобожден,,,
Мазайло Геннадий Александрович,04-002-03-01,судья,назначен,,лет,5
Мартынов Евгений Владимирович,03-000-03-01,судья,назначен,,лет,5
Мартынов Евгений Владимирович,03-006-03-01,судья,освобожден,,,
Надточей Марина Владимировна,03-000-03-01,судья и заместитель председателя суда,назначен,,бессрочно,
Тишковский Павел Станиславович,03-000-03-02,судья,назначен,,лет,5
Святко Марина Борисовна,03-002-03-03,судья,назначен,,лет,5
Соловский Сергей Александрович,03-002-03-04,судья,назначен,,лет,5
Соловский Сергей Александрович,03-005-03-01,судья,освобожден,,,
Василевский Владимир Александрович,03-016-03-01,судья,назначен,,лет,5
Аскерко Дарья Геннадьевна,03-002-03-02,судья,назначен,,лет,5
Буйновец Светлана Викторовна,03-002-03-02,судья,назначен,,лет,5
Воинова Мария Александровна,03-018-03-01,судья,назначен,,лет,5
Загоровская Валентина Александровна,03-009-03-01,судья и председатель суда,назначен,,бессрочно,
Сытько Галина Михайловна,03-001-03-01,судья и председатель суда,назначен,,бессрочно,
Сытько Галина Михайловна,03-002-03-03,судья и председатель суда,освобожден,,,
Стефановский Игорь Эдуардович,02-000-03-01,судья,назначен,,бессрочно,
Стефановский Игорь Эдуардович,02-002-03-02,судья,освобожден,,,
Федюкевич Александр Иосифович,02-000-03-01,судья и председатель суда,назначен,,бессрочно,
Федюкевич Александр Иосифович,02-000-03-01,судья и председатель суда,освобожден,,,
Володин Юрий Александрович,02-000-03-02,судья,назначен,,лет,5
Римша Игорь Сергеевич,02-000-03-02,судья,назначен,,бессрочно,
Стефанович Наталья Леонидовна,02-000-03-02,судья и заместитель председателя суда,назначен,,бессрочно,
Грабовская Инна Валерьевна,02-002-03-02,судья,назначен,,лет,5
Жарикова Алеся Сергеевна,02-002-03-02,судья,назначен,,лет,5
Борисова Вероника Сергеевна,02-002-03-03,судья,назначен,,лет,5
Борисова Вероника Сергеевна,02-008-03-01,судья,освобожден,выход на работу основного работника после социального отпуска,,
Юрченко Михаил Григорьевич,02-002-03-03,судья,назначен,,лет,5
Бесецкий Владимир Георгиевич,02-015-03-01,заместитель председателя суда,назначен,,лет,5
Дергачёв Андрей Александрович,02-015-03-01,судья,назначен,,лет,5
Дергачёв Андрей Александрович,02-015-03-01,судья,освобожден,выход на работу основного работника после социального отпуска,,
Янюк Виталий Фёдорович,02-003-03-01,судья,назначен,,лет,5
Дробыш Марина Анатольевна,02-021-03-01,судья,назначен,,бессрочно,
Еловая Елена Михайловна,02-017-03-01,судья,назначен,,лет,5
Кохова Инна Викторовна,02-014-03-01,судья,назначен,,бессрочно,
Талай Людмила Николаевна,02-018-03-01,судья,назначен,,бессрочно,
Березюк Сергей Александрович,01-000-03-01,судья,назначен,,лет,5
Василюк Андрей Анатольевич,01-000-03-01,судья,назначен,,лет,5
Миселюк Валентин Михайлович,01-000-03-02,судья,назначен,,лет,5
Житко Игорь Анатольевич,01-017-03-01,судья,назначен,,лет,5
Невмержицкий Иван Николаевич,07-005-03-01,судья,освобожден,в связи с истечением срока полномочий,,
